../data/final/netrd/SIS/timeseries_bull_5k_0.2_dontdie.pickle
../data/final/netrd/SIS/edges_bull.pickle
SEED: 0
NUM_RUNS: 1
BATCH_SIZE: 100
NUM_DYN_EPOCHS: 40
FORMAT: timeseries
HIDDEN_SIZE: 128
USE_TESTSET: True
tensor([[0., 1., 1., 0., 0.],
        [1., 0., 1., 1., 0.],
        [1., 1., 0., 0., 1.],
        [0., 1., 0., 0., 0.],
        [0., 0., 1., 0., 0.]])
num samples: 5000
NUM_TRAIN_SAMPLES: 3999
NUM_TRAIN_BATCHES: 40
NUM_TEST_SAMPLES: 1000
NUM_TEST_BATCHES: 10
BATCH_SIZE: 100
HIDDEN_SIZE: 128
NUM_DYN_EPOCHS: 40
IS_CONTINUOUS: False
USE_MAX: False
evaluating: matrix 136, run 0. Mean loss in evaluation epoch: 0.44671526551246643, epochs needed: 40
evaluating: matrix 137, run 0. Mean loss in evaluation epoch: 0.441969633102417, epochs needed: 40
evaluating: matrix 138, run 0. Mean loss in evaluation epoch: 0.4464469850063324, epochs needed: 40
evaluating: matrix 139, run 0. Mean loss in evaluation epoch: 0.44197016954421997, epochs needed: 40
evaluating: matrix 140, run 0. Mean loss in evaluation epoch: 0.44529658555984497, epochs needed: 40
evaluating: matrix 141, run 0. Mean loss in evaluation epoch: 0.44660472869873047, epochs needed: 40
evaluating: matrix 142, run 0. Mean loss in evaluation epoch: 0.4463392198085785, epochs needed: 40
evaluating: matrix 143, run 0. Mean loss in evaluation epoch: 0.4428107440471649, epochs needed: 40
evaluating: matrix 144, run 0. Mean loss in evaluation epoch: 0.4439845681190491, epochs needed: 40
evaluating: matrix 145, run 0. Mean loss in evaluation epoch: 0.44376644492149353, epochs needed: 40
evaluating: matrix 146, run 0. Mean loss in evaluation epoch: 0.4440169334411621, epochs needed: 40
evaluating: matrix 147, run 0. Mean loss in evaluation epoch: 0.43550387024879456, epochs needed: 40
evaluating: matrix 148, run 0. Mean loss in evaluation epoch: 0.44365403056144714, epochs needed: 40
evaluating: matrix 149, run 0. Mean loss in evaluation epoch: 0.4465692639350891, epochs needed: 40
evaluating: matrix 150, run 0. Mean loss in evaluation epoch: 0.4444368779659271, epochs needed: 40
evaluating: matrix 151, run 0. Mean loss in evaluation epoch: 0.4430694282054901, epochs needed: 40
evaluating: matrix 152, run 0. Mean loss in evaluation epoch: 0.4495580792427063, epochs needed: 40
evaluating: matrix 153, run 0. Mean loss in evaluation epoch: 0.44455686211586, epochs needed: 40
evaluating: matrix 154, run 0. Mean loss in evaluation epoch: 0.4469107687473297, epochs needed: 40
evaluating: matrix 155, run 0. Mean loss in evaluation epoch: 0.4414364993572235, epochs needed: 40
evaluating: matrix 156, run 0. Mean loss in evaluation epoch: 0.44710731506347656, epochs needed: 40
evaluating: matrix 157, run 0. Mean loss in evaluation epoch: 0.44432687759399414, epochs needed: 40
evaluating: matrix 158, run 0. Mean loss in evaluation epoch: 0.445288747549057, epochs needed: 40
evaluating: matrix 159, run 0. Mean loss in evaluation epoch: 0.44027408957481384, epochs needed: 40
evaluating: matrix 160, run 0. Mean loss in evaluation epoch: 0.4482671916484833, epochs needed: 40
evaluating: matrix 161, run 0. Mean loss in evaluation epoch: 0.44336462020874023, epochs needed: 40
evaluating: matrix 162, run 0. Mean loss in evaluation epoch: 0.4453422725200653, epochs needed: 40
evaluating: matrix 163, run 0. Mean loss in evaluation epoch: 0.44376125931739807, epochs needed: 40
evaluating: matrix 164, run 0. Mean loss in evaluation epoch: 0.4477584958076477, epochs needed: 40
evaluating: matrix 165, run 0. Mean loss in evaluation epoch: 0.446065753698349, epochs needed: 40
evaluating: matrix 166, run 0. Mean loss in evaluation epoch: 0.442185640335083, epochs needed: 40
evaluating: matrix 167, run 0. Mean loss in evaluation epoch: 0.4430548846721649, epochs needed: 40
evaluating: matrix 168, run 0. Mean loss in evaluation epoch: 0.447782427072525, epochs needed: 40
evaluating: matrix 169, run 0. Mean loss in evaluation epoch: 0.44516822695732117, epochs needed: 40
evaluating: matrix 170, run 0. Mean loss in evaluation epoch: 0.44841599464416504, epochs needed: 40
evaluating: matrix 171, run 0. Mean loss in evaluation epoch: 0.44673871994018555, epochs needed: 40
evaluating: matrix 172, run 0. Mean loss in evaluation epoch: 0.4501964747905731, epochs needed: 40
evaluating: matrix 173, run 0. Mean loss in evaluation epoch: 0.44771549105644226, epochs needed: 40
evaluating: matrix 174, run 0. Mean loss in evaluation epoch: 0.4463459551334381, epochs needed: 40
evaluating: matrix 175, run 0. Mean loss in evaluation epoch: 0.44690123200416565, epochs needed: 40
evaluating: matrix 176, run 0. Mean loss in evaluation epoch: 0.44656386971473694, epochs needed: 40
evaluating: matrix 177, run 0. Mean loss in evaluation epoch: 0.4450153410434723, epochs needed: 40
evaluating: matrix 178, run 0. Mean loss in evaluation epoch: 0.44636639952659607, epochs needed: 40
evaluating: matrix 179, run 0. Mean loss in evaluation epoch: 0.44072332978248596, epochs needed: 40
evaluating: matrix 180, run 0. Mean loss in evaluation epoch: 0.44079408049583435, epochs needed: 40
evaluating: matrix 181, run 0. Mean loss in evaluation epoch: 0.4427645206451416, epochs needed: 40
evaluating: matrix 182, run 0. Mean loss in evaluation epoch: 0.4475190341472626, epochs needed: 40
evaluating: matrix 183, run 0. Mean loss in evaluation epoch: 0.4438268840312958, epochs needed: 40
evaluating: matrix 184, run 0. Mean loss in evaluation epoch: 0.4499799907207489, epochs needed: 40
evaluating: matrix 185, run 0. Mean loss in evaluation epoch: 0.44660502672195435, epochs needed: 40
evaluating: matrix 186, run 0. Mean loss in evaluation epoch: 0.44458046555519104, epochs needed: 40
evaluating: matrix 187, run 0. Mean loss in evaluation epoch: 0.44433116912841797, epochs needed: 40
evaluating: matrix 188, run 0. Mean loss in evaluation epoch: 0.44814440608024597, epochs needed: 40
evaluating: matrix 189, run 0. Mean loss in evaluation epoch: 0.4472922384738922, epochs needed: 40
evaluating: matrix 190, run 0. Mean loss in evaluation epoch: 0.4481724798679352, epochs needed: 40
evaluating: matrix 191, run 0. Mean loss in evaluation epoch: 0.44711533188819885, epochs needed: 40
evaluating: matrix 192, run 0. Mean loss in evaluation epoch: 0.44032835960388184, epochs needed: 40
evaluating: matrix 193, run 0. Mean loss in evaluation epoch: 0.4446108937263489, epochs needed: 40
evaluating: matrix 194, run 0. Mean loss in evaluation epoch: 0.4475618302822113, epochs needed: 40
evaluating: matrix 195, run 0. Mean loss in evaluation epoch: 0.4418172538280487, epochs needed: 40
