../data/final/netrd/SIS/timeseries_bull_200_0.2_dontdie.pickle
../data/final/netrd/SIS/edges_bull.pickle
SEED: 0
NUM_RUNS: 1
BATCH_SIZE: 100
NUM_DYN_EPOCHS: 1000
FORMAT: timeseries
HIDDEN_SIZE: 128
USE_TESTSET: True
tensor([[0., 1., 1., 0., 0.],
        [1., 0., 1., 1., 0.],
        [1., 1., 0., 0., 1.],
        [0., 1., 0., 0., 0.],
        [0., 0., 1., 0., 0.]])
num samples: 200
NUM_TRAIN_SAMPLES: 159
NUM_TRAIN_BATCHES: 2
NUM_TEST_SAMPLES: 40
NUM_TEST_BATCHES: 1
BATCH_SIZE: 100
HIDDEN_SIZE: 128
NUM_DYN_EPOCHS: 1000
IS_CONTINUOUS: False
USE_MAX: False
evaluating: matrix 105, run 0. Mean loss in evaluation epoch: 0.4617944359779358, epochs needed: 1000
evaluating: matrix 106, run 0. Mean loss in evaluation epoch: 0.4820491373538971, epochs needed: 1000
evaluating: matrix 107, run 0. Mean loss in evaluation epoch: 0.47578051686286926, epochs needed: 1000
evaluating: matrix 108, run 0. Mean loss in evaluation epoch: 0.46228083968162537, epochs needed: 1000
evaluating: matrix 109, run 0. Mean loss in evaluation epoch: 0.4593536853790283, epochs needed: 1000
evaluating: matrix 110, run 0. Mean loss in evaluation epoch: 0.4790998697280884, epochs needed: 1000
evaluating: matrix 111, run 0. Mean loss in evaluation epoch: 0.4643416702747345, epochs needed: 1000
evaluating: matrix 112, run 0. Mean loss in evaluation epoch: 0.4581003487110138, epochs needed: 1000
evaluating: matrix 113, run 0. Mean loss in evaluation epoch: 0.44633856415748596, epochs needed: 1000
evaluating: matrix 114, run 0. Mean loss in evaluation epoch: 0.463341623544693, epochs needed: 1000
evaluating: matrix 115, run 0. Mean loss in evaluation epoch: 0.437935471534729, epochs needed: 1000
evaluating: matrix 116, run 0. Mean loss in evaluation epoch: 0.44463810324668884, epochs needed: 1000
evaluating: matrix 117, run 0. Mean loss in evaluation epoch: 0.4568868577480316, epochs needed: 1000
evaluating: matrix 118, run 0. Mean loss in evaluation epoch: 0.46530696749687195, epochs needed: 1000
evaluating: matrix 119, run 0. Mean loss in evaluation epoch: 0.45701929926872253, epochs needed: 1000
evaluating: matrix 120, run 0. Mean loss in evaluation epoch: 0.5028154253959656, epochs needed: 1000
evaluating: matrix 121, run 0. Mean loss in evaluation epoch: 0.4627419412136078, epochs needed: 1000
evaluating: matrix 122, run 0. Mean loss in evaluation epoch: 0.4879664480686188, epochs needed: 1000
evaluating: matrix 123, run 0. Mean loss in evaluation epoch: 0.4652075171470642, epochs needed: 1000
evaluating: matrix 124, run 0. Mean loss in evaluation epoch: 0.501490592956543, epochs needed: 1000
evaluating: matrix 125, run 0. Mean loss in evaluation epoch: 0.46426406502723694, epochs needed: 1000
evaluating: matrix 126, run 0. Mean loss in evaluation epoch: 0.4746449291706085, epochs needed: 1000
evaluating: matrix 127, run 0. Mean loss in evaluation epoch: 0.46909260749816895, epochs needed: 1000
evaluating: matrix 128, run 0. Mean loss in evaluation epoch: 0.45528706908226013, epochs needed: 1000
evaluating: matrix 129, run 0. Mean loss in evaluation epoch: 0.46961134672164917, epochs needed: 1000
evaluating: matrix 130, run 0. Mean loss in evaluation epoch: 0.45394524931907654, epochs needed: 1000
evaluating: matrix 131, run 0. Mean loss in evaluation epoch: 0.46965348720550537, epochs needed: 1000
evaluating: matrix 132, run 0. Mean loss in evaluation epoch: 0.4724571108818054, epochs needed: 1000
evaluating: matrix 133, run 0. Mean loss in evaluation epoch: 0.47234633564949036, epochs needed: 1000
evaluating: matrix 134, run 0. Mean loss in evaluation epoch: 0.447556734085083, epochs needed: 1000
evaluating: matrix 135, run 0. Mean loss in evaluation epoch: 0.47793468832969666, epochs needed: 1000
evaluating: matrix 136, run 0. Mean loss in evaluation epoch: 0.4512642025947571, epochs needed: 1000
evaluating: matrix 137, run 0. Mean loss in evaluation epoch: 0.4640910029411316, epochs needed: 1000
evaluating: matrix 138, run 0. Mean loss in evaluation epoch: 0.4496251940727234, epochs needed: 1000
evaluating: matrix 139, run 0. Mean loss in evaluation epoch: 0.47217369079589844, epochs needed: 1000
evaluating: matrix 140, run 0. Mean loss in evaluation epoch: 0.46038618683815, epochs needed: 1000
evaluating: matrix 141, run 0. Mean loss in evaluation epoch: 0.47252270579338074, epochs needed: 1000
evaluating: matrix 142, run 0. Mean loss in evaluation epoch: 0.44811299443244934, epochs needed: 1000
evaluating: matrix 143, run 0. Mean loss in evaluation epoch: 0.4622090458869934, epochs needed: 1000
evaluating: matrix 144, run 0. Mean loss in evaluation epoch: 0.4605431854724884, epochs needed: 1000
evaluating: matrix 145, run 0. Mean loss in evaluation epoch: 0.46802031993865967, epochs needed: 1000
evaluating: matrix 146, run 0. Mean loss in evaluation epoch: 0.4546820819377899, epochs needed: 1000
evaluating: matrix 147, run 0. Mean loss in evaluation epoch: 0.4757503569126129, epochs needed: 1000
evaluating: matrix 148, run 0. Mean loss in evaluation epoch: 0.4821864366531372, epochs needed: 1000
evaluating: matrix 149, run 0. Mean loss in evaluation epoch: 0.4711580276489258, epochs needed: 1000
evaluating: matrix 150, run 0. Mean loss in evaluation epoch: 0.46568724513053894, epochs needed: 1000
evaluating: matrix 151, run 0. Mean loss in evaluation epoch: 0.4773824214935303, epochs needed: 1000
evaluating: matrix 152, run 0. Mean loss in evaluation epoch: 0.4551466405391693, epochs needed: 1000
