../data/final/cml/timeseries_bull_5k_4_onetake.pickle
../data/final/cml/edges_bull.pickle
SEED: 0
NUM_RUNS: 1
BATCH_SIZE: 100
NUM_DYN_EPOCHS: 10
FORMAT: standard
HIDDEN_SIZE: 128
tensor([[0., 1., 1., 0., 0.],
        [1., 0., 1., 1., 0.],
        [1., 1., 0., 0., 1.],
        [0., 1., 0., 0., 0.],
        [0., 0., 1., 0., 0.]])
num samples: 4991
NUM_SAMPLES: 4991
BATCH_SIZE: 100
HIDDEN_SIZE: 128
NUM_DYN_EPOCHS: 10
IS_CONTINUOUS: True
NUM_BATCHES: 50
USE_MAX: False
evaluating: matrix 114, run 0. Mean loss in evaluation epoch: 0.16028936207294464, epochs needed: 10
evaluating: matrix 115, run 0. Mean loss in evaluation epoch: 0.17188520729541779, epochs needed: 10
evaluating: matrix 116, run 0. Mean loss in evaluation epoch: 0.1632397472858429, epochs needed: 10
evaluating: matrix 117, run 0. Mean loss in evaluation epoch: 0.1729157269001007, epochs needed: 10
evaluating: matrix 118, run 0. Mean loss in evaluation epoch: 0.16544368863105774, epochs needed: 10
evaluating: matrix 119, run 0. Mean loss in evaluation epoch: 0.17302079498767853, epochs needed: 10
evaluating: matrix 120, run 0. Mean loss in evaluation epoch: 0.1698489785194397, epochs needed: 10
evaluating: matrix 121, run 0. Mean loss in evaluation epoch: 0.18204602599143982, epochs needed: 10
evaluating: matrix 122, run 0. Mean loss in evaluation epoch: 0.17469477653503418, epochs needed: 10
evaluating: matrix 123, run 0. Mean loss in evaluation epoch: 0.1909777969121933, epochs needed: 10
evaluating: matrix 124, run 0. Mean loss in evaluation epoch: 0.16786311566829681, epochs needed: 10
evaluating: matrix 125, run 0. Mean loss in evaluation epoch: 0.1755637675523758, epochs needed: 10
evaluating: matrix 126, run 0. Mean loss in evaluation epoch: 0.16666367650032043, epochs needed: 10
evaluating: matrix 127, run 0. Mean loss in evaluation epoch: 0.17404985427856445, epochs needed: 10
evaluating: matrix 128, run 0. Mean loss in evaluation epoch: 0.20459753274917603, epochs needed: 10
evaluating: matrix 129, run 0. Mean loss in evaluation epoch: 0.2120998650789261, epochs needed: 10
