num samples: 1000
NUM_TRAIN_SAMPLES: 1000
NUM_TRAIN_BATCHES: 10
NUM_TEST_SAMPLES: 1000
NUM_TEST_BATCHES: 10
BATCH_SIZE: 100
HIDDEN_SIZE: 128
NUM_DYN_EPOCHS: 50
IS_CONTINUOUS: True
USE_MAX: False
../data/final/cml/timeseries_ba20_1k_4_restart.pickle
../data/final/edges_ba20.pickle
CONTINUATION: False
CONT_ADDRESS: D:\Uni\BA\ColabOutputs\ba20\2020-12-10T22_50_22.113418
SEED: 0
NUM_DYN_EPOCHS: 50
NUM_DYN_EPOCHS_INIT: 200
DETECT_EARLY_CONVERGENCE: False
RESET_DYN_LEARNER_EVERY_NTH_GEN: 5
POP_SIZE: 10
NEWPOP_SIZE: 40
NUM_GEN: 45
USE_NODEWISE_EVALUATION: False
USE_EVALEPOCH_FOR_GUIDED_MUTATION: False
USE_DETERMINISTIC_EVAL: False
FORMAT: standard
--------------------- Start training ------------------------
evaluating individudal 20 - caa914402306aa86. Mean loss in evaluation epoch: 0.11321756988763809, epochs needed: 50
evaluating individudal 21 - 6b8470bbc0516294. Mean loss in evaluation epoch: 0.11365504562854767, epochs needed: 50
evaluating individudal 22 - 4c2acbfd3bf8f2de. Mean loss in evaluation epoch: 0.11006655544042587, epochs needed: 50
evaluating individudal 23 - eed6a0d270980ba5. Mean loss in evaluation epoch: 0.11187827587127686, epochs needed: 50
evaluating individudal 24 - d8273489521f2508. Mean loss in evaluation epoch: 0.12353818863630295, epochs needed: 50
evaluating individudal 25 - a2b00f348c8c78b9. Mean loss in evaluation epoch: 0.11137557029724121, epochs needed: 50
evaluating individudal 26 - ab3fb971eb2c0eb9. Mean loss in evaluation epoch: 0.10924148559570312, epochs needed: 50
evaluating individudal 27 - d3ca198f475a9bbf. Mean loss in evaluation epoch: 0.11080723255872726, epochs needed: 50
evaluating individudal 28 - bfc32576d9e315ba. Mean loss in evaluation epoch: 0.11761128902435303, epochs needed: 50
evaluating individudal 29 - bbba7bf16fc7c368. Mean loss in evaluation epoch: 0.11057722568511963, epochs needed: 50
evaluating individudal 30 - d3db0c3c4a4b1e68. Mean loss in evaluation epoch: 0.11015690863132477, epochs needed: 50
evaluating individudal 31 - b7903ecbef040425. Mean loss in evaluation epoch: 0.11024603992700577, epochs needed: 50
evaluating individudal 32 - ed02600060f5773c. Mean loss in evaluation epoch: 0.11399932950735092, epochs needed: 50
evaluating individudal 33 - 6753c8b56efe5fc1. Mean loss in evaluation epoch: 0.11077598482370377, epochs needed: 50
evaluating individudal 34 - 7c0d135106e36271. Mean loss in evaluation epoch: 0.1101037785410881, epochs needed: 50
evaluating individudal 35 - abcdee7444cde62c. Mean loss in evaluation epoch: 0.11016732454299927, epochs needed: 50
evaluating individudal 36 - f2d862515d7a9ee1. Mean loss in evaluation epoch: 0.11092054843902588, epochs needed: 50
evaluating individudal 37 - 7656a696dcb5dfe0. Mean loss in evaluation epoch: 0.10947444289922714, epochs needed: 50
evaluating individudal 38 - 8e244440a11fc0cc. Mean loss in evaluation epoch: 0.10983240604400635, epochs needed: 50
evaluating individudal 39 - b4d12f8939c04d1d. Mean loss in evaluation epoch: 0.11017497628927231, epochs needed: 50
evaluating individudal 0 - 81f5c03635848d06. Mean loss in evaluation epoch: 0.1090882420539856, epochs needed: 50
evaluating individudal 1 - 78313df24f4a1651. Mean loss in evaluation epoch: 0.12311872094869614, epochs needed: 50
evaluating individudal 2 - 321f0217cc453922. Mean loss in evaluation epoch: 0.11119742691516876, epochs needed: 50
evaluating individudal 3 - 0fad04fb9e4ad84a. Mean loss in evaluation epoch: 0.11046653985977173, epochs needed: 50
evaluating individudal 4 - e967c58fa61c7cca. Mean loss in evaluation epoch: 0.1137680932879448, epochs needed: 50
evaluating individudal 5 - d92be6eb1d5ce6cc. Mean loss in evaluation epoch: 0.11089053004980087, epochs needed: 50
evaluating individudal 6 - 6a56b9d6597a1b78. Mean loss in evaluation epoch: 0.11258292198181152, epochs needed: 50
evaluating individudal 7 - 82ef13213b58adc5. Mean loss in evaluation epoch: 0.11112469434738159, epochs needed: 50
evaluating individudal 8 - ff95a0199d2d5480. Mean loss in evaluation epoch: 0.10959336906671524, epochs needed: 50
evaluating individudal 9 - 730fa6e3e638ca71. Mean loss in evaluation epoch: 0.1110038161277771, epochs needed: 50
Round 2 done. -----------------------------------------
------------------------- TRACKING ---------------------------
Matrix Hash: 81f5c03635848d06, num_times_seen_before: 1
ACC: 0.5105263157894737
TPR/FPR: 0.7222222222222222, 0.538961038961039
Loss: 0.1090882420539856
Timestamp: 3256.655419941002
---------------------------------------------------------------
evaluating individudal 0 - c080742ac3283ba4. Mean loss in evaluation epoch: 0.10718684643507004, epochs needed: 50
evaluating individudal 1 - 3f36d174ed2ceeaa. Mean loss in evaluation epoch: 0.10808034241199493, epochs needed: 50
evaluating individudal 2 - d924b646455fae4b. Mean loss in evaluation epoch: 0.1088452860713005, epochs needed: 50
evaluating individudal 3 - 8182b9087f29b1f1. Mean loss in evaluation epoch: 0.1085052490234375, epochs needed: 50
evaluating individudal 4 - 035563260ff04de2. Mean loss in evaluation epoch: 0.10644721984863281, epochs needed: 50
evaluating individudal 5 - 696959d696ec301c. Mean loss in evaluation epoch: 0.10724492371082306, epochs needed: 50
evaluating individudal 6 - e6fd71a9bf9710b4. Mean loss in evaluation epoch: 0.10818133503198624, epochs needed: 50
evaluating individudal 7 - f8d8a7d6a1d6f713. Mean loss in evaluation epoch: 0.10731442272663116, epochs needed: 50
evaluating individudal 8 - 102eac5960552a89. Mean loss in evaluation epoch: 0.10791563987731934, epochs needed: 50
evaluating individudal 9 - 7972adcda84e632f. Mean loss in evaluation epoch: 0.10732769966125488, epochs needed: 50
evaluating individudal 10 - 6c23f0ba91663583. Mean loss in evaluation epoch: 0.10713968425989151, epochs needed: 50
evaluating individudal 11 - 64da835a55b8119f. Mean loss in evaluation epoch: 0.10802513360977173, epochs needed: 50
evaluating individudal 12 - f12f614c26f61af5. Mean loss in evaluation epoch: 0.10666680335998535, epochs needed: 50
evaluating individudal 13 - c1a3fd9887b1dab3. Mean loss in evaluation epoch: 0.10699094831943512, epochs needed: 50
evaluating individudal 14 - d3f3cf0f52e9b5b7. Mean loss in evaluation epoch: 0.1085657849907875, epochs needed: 50
evaluating individudal 15 - 174bf13efc18ea09. Mean loss in evaluation epoch: 0.10707324743270874, epochs needed: 50
evaluating individudal 16 - 9e5a70cfa362235c. Mean loss in evaluation epoch: 0.10728769749403, epochs needed: 50
evaluating individudal 17 - fad97162da1012fa. Mean loss in evaluation epoch: 0.10709302872419357, epochs needed: 50
evaluating individudal 18 - 82bffa921c5b1f25. Mean loss in evaluation epoch: 0.10828613489866257, epochs needed: 50
evaluating individudal 19 - d3c472ecfacabf1d. Mean loss in evaluation epoch: 0.10682230442762375, epochs needed: 50
evaluating individudal 20 - 9dc0d28e1ee1c535. Mean loss in evaluation epoch: 0.1077193170785904, epochs needed: 50
evaluating individudal 21 - 24c342176771354c. Mean loss in evaluation epoch: 0.10641636699438095, epochs needed: 50
evaluating individudal 22 - ead75e02b97179fe. Mean loss in evaluation epoch: 0.11184626817703247, epochs needed: 50
evaluating individudal 23 - 27b68eb03cea3377. Mean loss in evaluation epoch: 0.10782396048307419, epochs needed: 50
evaluating individudal 24 - 46e194c71bde466c. Mean loss in evaluation epoch: 0.10662610828876495, epochs needed: 50
evaluating individudal 25 - 021137afce2d4b9f. Mean loss in evaluation epoch: 0.10816669464111328, epochs needed: 50
evaluating individudal 26 - f5bec445f8a8dc4a. Mean loss in evaluation epoch: 0.10754349082708359, epochs needed: 50
evaluating individudal 27 - f2604a23775b635b. Mean loss in evaluation epoch: 0.10822830349206924, epochs needed: 50
evaluating individudal 28 - bb3ee36c53a7eeae. Mean loss in evaluation epoch: 0.10862346738576889, epochs needed: 50
evaluating individudal 29 - 0d6c3f764cd1815d. Mean loss in evaluation epoch: 0.10715328902006149, epochs needed: 50
evaluating individudal 30 - 8bff96e74eb0d9f7. Mean loss in evaluation epoch: 0.10812117904424667, epochs needed: 50
evaluating individudal 31 - 3901f1509c415208. Mean loss in evaluation epoch: 0.1068369671702385, epochs needed: 50
evaluating individudal 32 - 4e3b7155d8ab7ae4. Mean loss in evaluation epoch: 0.10773660987615585, epochs needed: 50
evaluating individudal 33 - 83a397f08b2c28ae. Mean loss in evaluation epoch: 0.10820923000574112, epochs needed: 50
evaluating individudal 34 - 8c35c1fe2872cbf2. Mean loss in evaluation epoch: 0.10892216116189957, epochs needed: 50
evaluating individudal 35 - 369766900227aa3b. Mean loss in evaluation epoch: 0.10629985481500626, epochs needed: 50
evaluating individudal 36 - 20a949d72919f984. Mean loss in evaluation epoch: 0.11283420771360397, epochs needed: 50
evaluating individudal 37 - 3b89551fa05efdd7. Mean loss in evaluation epoch: 0.1064123660326004, epochs needed: 50
evaluating individudal 38 - 8bafb29903a14115. Mean loss in evaluation epoch: 0.10694286972284317, epochs needed: 50
evaluating individudal 39 - 07e1466220c901fd. Mean loss in evaluation epoch: 0.10663177818059921, epochs needed: 50
evaluating individudal 0 - 81f5c03635848d06. Mean loss in evaluation epoch: 0.11277424544095993, epochs needed: 50
evaluating individudal 1 - ab3fb971eb2c0eb9. Mean loss in evaluation epoch: 0.11149387806653976, epochs needed: 50
evaluating individudal 2 - 7526845e52eb14c1. Mean loss in evaluation epoch: 0.1079416498541832, epochs needed: 50
evaluating individudal 3 - 7656a696dcb5dfe0. Mean loss in evaluation epoch: 0.10847679525613785, epochs needed: 50
evaluating individudal 4 - ff95a0199d2d5480. Mean loss in evaluation epoch: 0.10886164009571075, epochs needed: 50
evaluating individudal 5 - cd1cb3429fd1a760. Mean loss in evaluation epoch: 0.10876307636499405, epochs needed: 50
evaluating individudal 6 - 8e244440a11fc0cc. Mean loss in evaluation epoch: 0.11018635332584381, epochs needed: 50
evaluating individudal 7 - dd560c5afdf9bc20. Mean loss in evaluation epoch: 0.10873164981603622, epochs needed: 50
evaluating individudal 8 - 4c2acbfd3bf8f2de. Mean loss in evaluation epoch: 0.11010994762182236, epochs needed: 50
evaluating individudal 9 - 7c0d135106e36271. Mean loss in evaluation epoch: 0.10774991661310196, epochs needed: 50
Round 3 done. -----------------------------------------
------------------------- TRACKING ---------------------------
Matrix Hash: 369766900227aa3b, num_times_seen_before: 0
ACC: 0.5368421052631579
TPR/FPR: 0.9166666666666666, 0.551948051948052
Loss: 0.10629985481500626
Timestamp: 3917.8528829280112
---------------------------------------------------------------
evaluating individudal 0 - b5df5273777eb50c. Mean loss in evaluation epoch: 0.10666149854660034, epochs needed: 50
evaluating individudal 1 - 26468af2ed7b3b53. Mean loss in evaluation epoch: 0.10609664022922516, epochs needed: 50
evaluating individudal 2 - c34fef759af58621. Mean loss in evaluation epoch: 0.10579657554626465, epochs needed: 50
evaluating individudal 3 - 00f195b753a3a688. Mean loss in evaluation epoch: 0.10475558042526245, epochs needed: 50
evaluating individudal 4 - f547fa018aa2742d. Mean loss in evaluation epoch: 0.10517726093530655, epochs needed: 50
evaluating individudal 5 - 3a4e9a1b735f63c7. Mean loss in evaluation epoch: 0.1051143929362297, epochs needed: 50
evaluating individudal 6 - 2c63b1339cce1bcb. Mean loss in evaluation epoch: 0.10576143115758896, epochs needed: 50
evaluating individudal 7 - d0c543dc5c07ea74. Mean loss in evaluation epoch: 0.10548341274261475, epochs needed: 50
evaluating individudal 8 - d0d188beeeb2489f. Mean loss in evaluation epoch: 0.10455365478992462, epochs needed: 50
evaluating individudal 9 - debd5846b4b84319. Mean loss in evaluation epoch: 0.1037268191576004, epochs needed: 50
evaluating individudal 10 - c3dd330478c19a53. Mean loss in evaluation epoch: 0.10555563122034073, epochs needed: 50
evaluating individudal 11 - cc5599c02171f661. Mean loss in evaluation epoch: 0.10535591095685959, epochs needed: 50
evaluating individudal 12 - b6b09919dfed3df0. Mean loss in evaluation epoch: 0.10495175421237946, epochs needed: 50
