num samples: 10000
NUM_TRAIN_SAMPLES: 9999
NUM_TRAIN_BATCHES: 100
NUM_TEST_SAMPLES: 9999
NUM_TEST_BATCHES: 100
BATCH_SIZE: 100
HIDDEN_SIZE: 128
NUM_DYN_EPOCHS: 20
IS_CONTINUOUS: False
USE_MAX: False
../data/final/netrd/SIS/timeseries_ba20_10k_0.1.pickle
../data/final/edges_ba20.pickle
CONTINUATION: False
CONT_ADDRESS: D:\Uni\BA\ColabOutputs\ba20\2020-12-10T22_50_22.113418
SEED: 0
NUM_DYN_EPOCHS: 20
NUM_DYN_EPOCHS_INIT: 20
DETECT_EARLY_CONVERGENCE: False
RESET_DYN_LEARNER_EVERY_NTH_GEN: 1
POP_SIZE: 10
NEWPOP_SIZE: 40
NUM_GEN: 45
USE_NODEWISE_EVALUATION: False
USE_EVALEPOCH_FOR_GUIDED_MUTATION: False
USE_DETERMINISTIC_EVAL: False
FORMAT: timeseries
--------------------- Start training ------------------------
evaluating individudal 4 - b30430044273d9b6. Mean loss in evaluation epoch: 0.3195601999759674, epochs needed: 20
evaluating individudal 5 - d2f8c10d4ae6b221. Mean loss in evaluation epoch: 0.3196179270744324, epochs needed: 20
evaluating individudal 6 - e38b73d71fd6f103. Mean loss in evaluation epoch: 0.3193408250808716, epochs needed: 20
evaluating individudal 7 - dd63f42aa1e7c032. Mean loss in evaluation epoch: 0.32019320130348206, epochs needed: 20
evaluating individudal 8 - dea8722b28c3a708. Mean loss in evaluation epoch: 0.31945812702178955, epochs needed: 20
evaluating individudal 9 - ac58c1a324cd2462. Mean loss in evaluation epoch: 0.31970393657684326, epochs needed: 20
Round 2 done. -----------------------------------------
------------------------- TRACKING ---------------------------
Matrix Hash: 7559ee8acd05517c, num_times_seen_before: 0
ACC: 0.4736842105263158
TPR/FPR: 0.4444444444444444, 0.5194805194805194
Loss: 0.3168105483055115
Timestamp: 1026.2088080959948
---------------------------------------------------------------
evaluating individudal 0 - 7ae929fe615ca59c. Mean loss in evaluation epoch: 0.31738656759262085, epochs needed: 20
evaluating individudal 1 - a6cc1b8207b0c0c5. Mean loss in evaluation epoch: 0.3225044310092926, epochs needed: 20
evaluating individudal 2 - ff9219247283a9c1. Mean loss in evaluation epoch: 0.31808337569236755, epochs needed: 20
evaluating individudal 3 - d09fa09b87168cc0. Mean loss in evaluation epoch: 0.3185597360134125, epochs needed: 20
evaluating individudal 4 - 01aae3476999f970. Mean loss in evaluation epoch: 0.32199257612228394, epochs needed: 20
evaluating individudal 5 - 71a5643f34ad4332. Mean loss in evaluation epoch: 0.31891068816185, epochs needed: 20
evaluating individudal 6 - 071876a2f8faba32. Mean loss in evaluation epoch: 0.3191712498664856, epochs needed: 20
evaluating individudal 7 - 663613b21b452436. Mean loss in evaluation epoch: 0.3223775327205658, epochs needed: 20
evaluating individudal 8 - 6d51650c95df57c3. Mean loss in evaluation epoch: 0.31800925731658936, epochs needed: 20
evaluating individudal 9 - 3299e85d47cb147e. Mean loss in evaluation epoch: 0.3181031346321106, epochs needed: 20
evaluating individudal 10 - c023fcfdbbaa8477. Mean loss in evaluation epoch: 0.3224751353263855, epochs needed: 20
evaluating individudal 11 - 4f2de3bad7f2cb24. Mean loss in evaluation epoch: 0.3179074823856354, epochs needed: 20
evaluating individudal 12 - 1b10a26b5a56ad37. Mean loss in evaluation epoch: 0.31902745366096497, epochs needed: 20
evaluating individudal 13 - 4f1644993e323bf4. Mean loss in evaluation epoch: 0.3182041347026825, epochs needed: 20
evaluating individudal 14 - 39f1adaa50288916. Mean loss in evaluation epoch: 0.3190002739429474, epochs needed: 20
evaluating individudal 15 - 12cb23da7e2c2761. Mean loss in evaluation epoch: 0.31734204292297363, epochs needed: 20
evaluating individudal 16 - 54bff2388541b3cd. Mean loss in evaluation epoch: 0.3192354440689087, epochs needed: 20
evaluating individudal 17 - 7c57f8f375024529. Mean loss in evaluation epoch: 0.3176509737968445, epochs needed: 20
evaluating individudal 18 - e56fa323ceefa505. Mean loss in evaluation epoch: 0.32087793946266174, epochs needed: 20
evaluating individudal 19 - da834cc84f7c63da. Mean loss in evaluation epoch: 0.318225234746933, epochs needed: 20
evaluating individudal 20 - 86f7da0db889ef6d. Mean loss in evaluation epoch: 0.31833040714263916, epochs needed: 20
evaluating individudal 21 - 012fdfb153df0d7a. Mean loss in evaluation epoch: 0.3174212872982025, epochs needed: 20
evaluating individudal 22 - 298d3b08ba6ffcba. Mean loss in evaluation epoch: 0.3181144595146179, epochs needed: 20
evaluating individudal 23 - 7445d0179f932b5c. Mean loss in evaluation epoch: 0.31754276156425476, epochs needed: 20
evaluating individudal 24 - e7234d02e1e0d0a2. Mean loss in evaluation epoch: 0.31972742080688477, epochs needed: 20
evaluating individudal 25 - f42b1622e3ee9dac. Mean loss in evaluation epoch: 0.3186151683330536, epochs needed: 20
evaluating individudal 26 - fc24e22305ccde9a. Mean loss in evaluation epoch: 0.31850138306617737, epochs needed: 20
evaluating individudal 27 - a495b1adef989f3f. Mean loss in evaluation epoch: 0.3193725347518921, epochs needed: 20
evaluating individudal 28 - aaa1d1018ac61703. Mean loss in evaluation epoch: 0.3194621503353119, epochs needed: 20
evaluating individudal 29 - 27e493218d91a869. Mean loss in evaluation epoch: 0.3193066418170929, epochs needed: 20
evaluating individudal 30 - 08c7147bd1ec4e56. Mean loss in evaluation epoch: 0.31816455721855164, epochs needed: 20
evaluating individudal 31 - 64246d4f2688a7b6. Mean loss in evaluation epoch: 0.3183639943599701, epochs needed: 20
evaluating individudal 32 - b4e4dffd751cc0dd. Mean loss in evaluation epoch: 0.31897321343421936, epochs needed: 20
evaluating individudal 33 - 3ac9745130931af7. Mean loss in evaluation epoch: 0.31868448853492737, epochs needed: 20
evaluating individudal 34 - 003bd1a616d7d8fc. Mean loss in evaluation epoch: 0.3200680613517761, epochs needed: 20
evaluating individudal 35 - 25992574ab3cfdf8. Mean loss in evaluation epoch: 0.3194383680820465, epochs needed: 20
evaluating individudal 36 - 5bb24e6f76e0676b. Mean loss in evaluation epoch: 0.31854182481765747, epochs needed: 20
evaluating individudal 37 - e48a864d5299e7f5. Mean loss in evaluation epoch: 0.31769415736198425, epochs needed: 20
evaluating individudal 38 - 43d3578ee0b7f418. Mean loss in evaluation epoch: 0.31862685084342957, epochs needed: 20
evaluating individudal 39 - aea54f0acaef7f2b. Mean loss in evaluation epoch: 0.31882837414741516, epochs needed: 20
evaluating individudal 0 - 7559ee8acd05517c. Mean loss in evaluation epoch: 0.31675368547439575, epochs needed: 20
evaluating individudal 1 - ef237e66d6b85b4f. Mean loss in evaluation epoch: 0.31808504462242126, epochs needed: 20
evaluating individudal 2 - 8fc257ff6deaf6bd. Mean loss in evaluation epoch: 0.31744760274887085, epochs needed: 20
evaluating individudal 3 - 0b133d30c3ae8eaf. Mean loss in evaluation epoch: 0.3177895247936249, epochs needed: 20
evaluating individudal 4 - aaec50defafd322c. Mean loss in evaluation epoch: 0.31777143478393555, epochs needed: 20
evaluating individudal 5 - a643048f48df48ee. Mean loss in evaluation epoch: 0.3178519308567047, epochs needed: 20
evaluating individudal 6 - 1e4bcf11604dac32. Mean loss in evaluation epoch: 0.3180857300758362, epochs needed: 20
evaluating individudal 7 - 0e2ebb95f36d6464. Mean loss in evaluation epoch: 0.3179713487625122, epochs needed: 20
evaluating individudal 8 - 1a61dded47d35e0f. Mean loss in evaluation epoch: 0.3177585005760193, epochs needed: 20
evaluating individudal 9 - 63081c65d074784f. Mean loss in evaluation epoch: 0.3183150887489319, epochs needed: 20
Round 3 done. -----------------------------------------
