num samples: 10000
NUM_TRAIN_SAMPLES: 9999
NUM_TRAIN_BATCHES: 100
NUM_TEST_SAMPLES: 9999
NUM_TEST_BATCHES: 100
BATCH_SIZE: 100
HIDDEN_SIZE: 128
NUM_DYN_EPOCHS: 20
IS_CONTINUOUS: False
USE_MAX: False
../data/final/netrd/SIS/timeseries_ba20_10k_0.1.pickle
../data/final/edges_ba20.pickle
CONTINUATION: False
CONT_ADDRESS: D:\Uni\BA\ColabOutputs\ba20\2020-12-10T22_50_22.113418
SEED: 0
NUM_DYN_EPOCHS: 20
NUM_DYN_EPOCHS_INIT: 20
DETECT_EARLY_CONVERGENCE: False
RESET_DYN_LEARNER_EVERY_NTH_GEN: 1
POP_SIZE: 10
NEWPOP_SIZE: 40
NUM_GEN: 45
USE_NODEWISE_EVALUATION: False
USE_EVALEPOCH_FOR_GUIDED_MUTATION: False
USE_DETERMINISTIC_EVAL: False
FORMAT: timeseries
--------------------- Start training ------------------------
evaluating individudal 34 - ddbdf709d2f841ba. Mean loss in evaluation epoch: 0.3159516155719757, epochs needed: 20
evaluating individudal 35 - 155bb3c83d548361. Mean loss in evaluation epoch: 0.3161916434764862, epochs needed: 20
evaluating individudal 36 - 31dec568be0c502f. Mean loss in evaluation epoch: 0.3187832236289978, epochs needed: 20
evaluating individudal 37 - 139983cab2ebcc88. Mean loss in evaluation epoch: 0.31576257944107056, epochs needed: 20
evaluating individudal 38 - 0af149ec88ee367d. Mean loss in evaluation epoch: 0.3186970353126526, epochs needed: 20
evaluating individudal 39 - 12b3e14d08ce9859. Mean loss in evaluation epoch: 0.31844979524612427, epochs needed: 20
evaluating individudal 0 - 7e54d62a9af75c3f. Mean loss in evaluation epoch: 0.31663545966148376, epochs needed: 20
evaluating individudal 1 - b2f7d067911e9c08. Mean loss in evaluation epoch: 0.3166545629501343, epochs needed: 20
evaluating individudal 2 - fddab646d4424182. Mean loss in evaluation epoch: 0.316744327545166, epochs needed: 20
evaluating individudal 3 - e68ba2afe51f38b7. Mean loss in evaluation epoch: 0.3167189359664917, epochs needed: 20
evaluating individudal 4 - ed1bd8bf4e6703bf. Mean loss in evaluation epoch: 0.31606054306030273, epochs needed: 20
evaluating individudal 5 - f65b3f17a7a22abe. Mean loss in evaluation epoch: 0.31703606247901917, epochs needed: 20
evaluating individudal 6 - df56732c80860ffb. Mean loss in evaluation epoch: 0.3175196647644043, epochs needed: 20
evaluating individudal 7 - 26306225f4841d2d. Mean loss in evaluation epoch: 0.31869685649871826, epochs needed: 20
evaluating individudal 8 - b44d1198f74db6bf. Mean loss in evaluation epoch: 0.31787529587745667, epochs needed: 20
evaluating individudal 9 - e04096284a2002cd. Mean loss in evaluation epoch: 0.31753554940223694, epochs needed: 20
Round 3 done. -----------------------------------------
------------------------- TRACKING ---------------------------
Matrix Hash: 139983cab2ebcc88, num_times_seen_before: 0
ACC: 0.5842105263157895
TPR/FPR: 0.9166666666666666, 0.4935064935064935
Loss: 0.31576257944107056
Timestamp: 1531.9033632359933
---------------------------------------------------------------
evaluating individudal 0 - 737a1687c423eed9. Mean loss in evaluation epoch: 0.3171996474266052, epochs needed: 20
evaluating individudal 1 - a99af7ac510c0cbf. Mean loss in evaluation epoch: 0.3188209533691406, epochs needed: 20
evaluating individudal 2 - 4a11bba44ab9dbd9. Mean loss in evaluation epoch: 0.3153529763221741, epochs needed: 20
evaluating individudal 3 - 270e88786ac80dbe. Mean loss in evaluation epoch: 0.31708598136901855, epochs needed: 20
evaluating individudal 4 - d80d86ddcc661bdd. Mean loss in evaluation epoch: 0.3175475597381592, epochs needed: 20
evaluating individudal 5 - cc152d56cc69d830. Mean loss in evaluation epoch: 0.3161277770996094, epochs needed: 20
evaluating individudal 6 - 1dfe65bbb8fbb764. Mean loss in evaluation epoch: 0.3183107376098633, epochs needed: 20
evaluating individudal 7 - 5a05d2db8a6d2cdc. Mean loss in evaluation epoch: 0.31702882051467896, epochs needed: 20
evaluating individudal 8 - be7fd7ca201e974f. Mean loss in evaluation epoch: 0.3163212239742279, epochs needed: 20
evaluating individudal 9 - 03cf59e321c90bd1. Mean loss in evaluation epoch: 0.31718477606773376, epochs needed: 20
