num samples: 1000
NUM_TRAIN_SAMPLES: 1000
NUM_TRAIN_BATCHES: 10
NUM_TEST_SAMPLES: 1000
NUM_TEST_BATCHES: 10
BATCH_SIZE: 100
HIDDEN_SIZE: 128
NUM_DYN_EPOCHS: 200
IS_CONTINUOUS: True
USE_MAX: False
../data/final/cml/timeseries_ba20_1k_3.5_restart.pickle
../data/final/edges_ba20.pickle
CONTINUATION: False
CONT_ADDRESS: D:\Uni\BA\ColabOutputs\ba20\2020-12-10T22_50_22.113418
SEED: 0
NUM_DYN_EPOCHS: 200
NUM_DYN_EPOCHS_INIT: 200
DETECT_EARLY_CONVERGENCE: False
RESET_DYN_LEARNER_EVERY_NTH_GEN: 1
POP_SIZE: 10
NEWPOP_SIZE: 40
NUM_GEN: 45
USE_NODEWISE_EVALUATION: False
USE_EVALEPOCH_FOR_GUIDED_MUTATION: False
USE_DETERMINISTIC_EVAL: False
FORMAT: standard
--------------------- Start training ------------------------
evaluating individudal 19 - e12fd89391710d71. Mean loss in evaluation epoch: 0.04725838825106621, epochs needed: 200
evaluating individudal 20 - aa5b2f5e1e4ee380. Mean loss in evaluation epoch: 0.04510866105556488, epochs needed: 200
evaluating individudal 21 - 23e7fbb80d4db5a0. Mean loss in evaluation epoch: 0.05059134587645531, epochs needed: 200
evaluating individudal 22 - d476bb91799b088d. Mean loss in evaluation epoch: 0.0481942780315876, epochs needed: 200
evaluating individudal 23 - 59a32c97edcf3d15. Mean loss in evaluation epoch: 0.05220150575041771, epochs needed: 200
evaluating individudal 24 - 996822bcf9478056. Mean loss in evaluation epoch: 0.04885004088282585, epochs needed: 200
evaluating individudal 25 - 2c81b77bc9e1524a. Mean loss in evaluation epoch: 0.041484978049993515, epochs needed: 200
evaluating individudal 26 - f9c64b2c6b511088. Mean loss in evaluation epoch: 0.041836123913526535, epochs needed: 200
evaluating individudal 27 - 0a340de8af160ceb. Mean loss in evaluation epoch: 0.04671892896294594, epochs needed: 200
evaluating individudal 28 - 18687616bf4b691b. Mean loss in evaluation epoch: 0.046140532940626144, epochs needed: 200
evaluating individudal 29 - c1a87feb9088caad. Mean loss in evaluation epoch: 0.046770092099905014, epochs needed: 200
evaluating individudal 30 - 8d1e7c3d5681ec23. Mean loss in evaluation epoch: 0.04419475793838501, epochs needed: 200
evaluating individudal 31 - d4ef43db77fa237d. Mean loss in evaluation epoch: 0.04700212553143501, epochs needed: 200
evaluating individudal 32 - 51de20942902385f. Mean loss in evaluation epoch: 0.04407954961061478, epochs needed: 200
evaluating individudal 33 - aef2ec0d000ab405. Mean loss in evaluation epoch: 0.04587072134017944, epochs needed: 200
evaluating individudal 34 - 2b544bb692d121f9. Mean loss in evaluation epoch: 0.039838653057813644, epochs needed: 200
evaluating individudal 35 - 0bf14586531f51f4. Mean loss in evaluation epoch: 0.041185617446899414, epochs needed: 200
evaluating individudal 36 - f5ae3f61a9192c8b. Mean loss in evaluation epoch: 0.04598034545779228, epochs needed: 200
evaluating individudal 37 - ed63acca43dc7e16. Mean loss in evaluation epoch: 0.05077971890568733, epochs needed: 200
evaluating individudal 38 - 3d9a4f4707818ab5. Mean loss in evaluation epoch: 0.04324034973978996, epochs needed: 200
evaluating individudal 39 - 4717c652bfd9eb87. Mean loss in evaluation epoch: 0.04443830996751785, epochs needed: 200
evaluating individudal 0 - ecedd90203150e8e. Mean loss in evaluation epoch: 0.04577651247382164, epochs needed: 200
evaluating individudal 1 - cb331c8c59a3c1ea. Mean loss in evaluation epoch: 0.042651090770959854, epochs needed: 200
evaluating individudal 2 - ec7504c0c13352f1. Mean loss in evaluation epoch: 0.047859590500593185, epochs needed: 200
evaluating individudal 3 - ee34148c1992093d. Mean loss in evaluation epoch: 0.04320776090025902, epochs needed: 200
evaluating individudal 4 - 14e0787f2a197d3f. Mean loss in evaluation epoch: 0.04670678451657295, epochs needed: 200
evaluating individudal 5 - 0598360c2dfd2f14. Mean loss in evaluation epoch: 0.045707233250141144, epochs needed: 200
evaluating individudal 6 - d4e539cef5104e79. Mean loss in evaluation epoch: 0.04691728949546814, epochs needed: 200
evaluating individudal 7 - c5076c0e4231e239. Mean loss in evaluation epoch: 0.04499626159667969, epochs needed: 200
evaluating individudal 8 - cf6804e7ba846f87. Mean loss in evaluation epoch: 0.04756370186805725, epochs needed: 200
evaluating individudal 9 - 27842f4c8177a88a. Mean loss in evaluation epoch: 0.05133435130119324, epochs needed: 200
Round 2 done. -----------------------------------------
------------------------- TRACKING ---------------------------
Matrix Hash: 2b544bb692d121f9, num_times_seen_before: 0
ACC: 0.6789473684210526
TPR/FPR: 0.9444444444444444, 0.38311688311688313
Loss: 0.039838653057813644
Timestamp: 5232.9055645970075
---------------------------------------------------------------
evaluating individudal 0 - 4e6f50f5f33418b9. Mean loss in evaluation epoch: 0.03671852499246597, epochs needed: 200
evaluating individudal 1 - f953fdf5dff847cf. Mean loss in evaluation epoch: 0.04368823766708374, epochs needed: 200
evaluating individudal 2 - 719d1e24fdcb6904. Mean loss in evaluation epoch: 0.043195679783821106, epochs needed: 200
evaluating individudal 3 - c9ca255462b2eec4. Mean loss in evaluation epoch: 0.04511342570185661, epochs needed: 200
