num samples: 1000
NUM_TRAIN_SAMPLES: 1000
NUM_TRAIN_BATCHES: 10
NUM_TEST_SAMPLES: 1000
NUM_TEST_BATCHES: 10
BATCH_SIZE: 100
HIDDEN_SIZE: 128
NUM_DYN_EPOCHS: 200
IS_CONTINUOUS: True
USE_MAX: False
../data/final/cml/timeseries_ba20_1k_3.5_restart.pickle
../data/final/edges_ba20.pickle
CONTINUATION: False
CONT_ADDRESS: D:\Uni\BA\ColabOutputs\ba20\2020-12-10T22_50_22.113418
SEED: 0
NUM_DYN_EPOCHS: 200
NUM_DYN_EPOCHS_INIT: 200
DETECT_EARLY_CONVERGENCE: False
RESET_DYN_LEARNER_EVERY_NTH_GEN: 1
POP_SIZE: 10
NEWPOP_SIZE: 40
NUM_GEN: 45
USE_NODEWISE_EVALUATION: False
USE_EVALEPOCH_FOR_GUIDED_MUTATION: False
USE_DETERMINISTIC_EVAL: False
FORMAT: standard
--------------------- Start training ------------------------
evaluating individudal 0 - 5413a2346d296425. Mean loss in evaluation epoch: 0.03242881968617439, epochs needed: 200
evaluating individudal 1 - 7c7e4ba545a91430. Mean loss in evaluation epoch: 0.04268525913357735, epochs needed: 200
evaluating individudal 2 - 128cfd7776ece5ea. Mean loss in evaluation epoch: 0.05668657645583153, epochs needed: 200
evaluating individudal 3 - 9ac1fa01bbe445cb. Mean loss in evaluation epoch: 0.03867408260703087, epochs needed: 200
evaluating individudal 4 - 5d0cf54354c9b8d6. Mean loss in evaluation epoch: 0.03801671788096428, epochs needed: 200
evaluating individudal 5 - 4d7fd00debfae299. Mean loss in evaluation epoch: 0.03750721737742424, epochs needed: 200
evaluating individudal 6 - c3545a1091eeee1d. Mean loss in evaluation epoch: 0.03661896660923958, epochs needed: 200
evaluating individudal 7 - 415c3ea9fdf5be78. Mean loss in evaluation epoch: 0.0390092134475708, epochs needed: 200
evaluating individudal 8 - 5cd680ea8af5893e. Mean loss in evaluation epoch: 0.03427565097808838, epochs needed: 200
evaluating individudal 9 - f211e336d521837f. Mean loss in evaluation epoch: 0.03246977925300598, epochs needed: 200
evaluating individudal 10 - 3dd2c3ccd9509aee. Mean loss in evaluation epoch: 0.03258005157113075, epochs needed: 200
evaluating individudal 11 - aa5c86edb571d898. Mean loss in evaluation epoch: 0.03933451324701309, epochs needed: 200
evaluating individudal 12 - 6287e84b21e3bb4f. Mean loss in evaluation epoch: 0.040434330701828, epochs needed: 200
evaluating individudal 13 - c734e10fb5e7842d. Mean loss in evaluation epoch: 0.03881236910820007, epochs needed: 200
evaluating individudal 14 - 8ad0f60e26149061. Mean loss in evaluation epoch: 0.03724556043744087, epochs needed: 200
evaluating individudal 15 - 0ce5dffe16d8be03. Mean loss in evaluation epoch: 0.041023410856723785, epochs needed: 200
evaluating individudal 16 - 5b27618f47f6e3f8. Mean loss in evaluation epoch: 0.040137309581041336, epochs needed: 200
evaluating individudal 17 - 9aec07b7241aa1ea. Mean loss in evaluation epoch: 0.03628917410969734, epochs needed: 200
evaluating individudal 18 - 499bbb8fce4d447a. Mean loss in evaluation epoch: 0.034539513289928436, epochs needed: 200
evaluating individudal 19 - f14d139fa183afe4. Mean loss in evaluation epoch: 0.04327695444226265, epochs needed: 200
evaluating individudal 20 - 926063969f691972. Mean loss in evaluation epoch: 0.0436808243393898, epochs needed: 200
evaluating individudal 21 - df15f0dbe060c32d. Mean loss in evaluation epoch: 0.03989213705062866, epochs needed: 200
evaluating individudal 22 - 5778d08458db1b1e. Mean loss in evaluation epoch: 0.0442160964012146, epochs needed: 200
evaluating individudal 23 - 22a78f34b57e9be9. Mean loss in evaluation epoch: 0.041210759431123734, epochs needed: 200
evaluating individudal 24 - 4e1936daff69dacb. Mean loss in evaluation epoch: 0.03780636191368103, epochs needed: 200
evaluating individudal 25 - 096fd85637cff452. Mean loss in evaluation epoch: 0.03269755095243454, epochs needed: 200
evaluating individudal 26 - f7e739234cc05031. Mean loss in evaluation epoch: 0.04297235235571861, epochs needed: 200
evaluating individudal 27 - 19a4414e12094a9d. Mean loss in evaluation epoch: 0.037739407271146774, epochs needed: 200
evaluating individudal 28 - 139bb437c39fade7. Mean loss in evaluation epoch: 0.04843605309724808, epochs needed: 200
evaluating individudal 29 - 750483270e061faf. Mean loss in evaluation epoch: 0.039230864495038986, epochs needed: 200
