num samples: 10000
NUM_TRAIN_SAMPLES: 9999
NUM_TRAIN_BATCHES: 100
NUM_TEST_SAMPLES: 9999
NUM_TEST_BATCHES: 100
BATCH_SIZE: 100
HIDDEN_SIZE: 128
NUM_DYN_EPOCHS: 20
IS_CONTINUOUS: False
USE_MAX: False
../data/final/netrd/SIS/timeseries_ba20_10k_0.1.pickle
../data/final/edges_ba20.pickle
CONTINUATION: False
CONT_ADDRESS: D:\Uni\BA\ColabOutputs\ba20\2020-12-10T22_50_22.113418
SEED: 0
NUM_DYN_EPOCHS: 20
NUM_DYN_EPOCHS_INIT: 20
DETECT_EARLY_CONVERGENCE: False
RESET_DYN_LEARNER_EVERY_NTH_GEN: 1
POP_SIZE: 10
NEWPOP_SIZE: 40
NUM_GEN: 45
USE_NODEWISE_EVALUATION: False
USE_EVALEPOCH_FOR_GUIDED_MUTATION: False
USE_DETERMINISTIC_EVAL: False
FORMAT: timeseries
--------------------- Start training ------------------------
evaluating individudal 19 - 31f150ddc88dbaaf. Mean loss in evaluation epoch: 0.3186265230178833, epochs needed: 20
evaluating individudal 20 - 5db655134369068c. Mean loss in evaluation epoch: 0.31841495633125305, epochs needed: 20
evaluating individudal 21 - 6a13ae98ceea3cc2. Mean loss in evaluation epoch: 0.3203289210796356, epochs needed: 20
evaluating individudal 22 - aad19a0fd2156825. Mean loss in evaluation epoch: 0.3179723620414734, epochs needed: 20
evaluating individudal 23 - d4d32e2474a02171. Mean loss in evaluation epoch: 0.31929251551628113, epochs needed: 20
evaluating individudal 24 - a2f65a7e9ff84947. Mean loss in evaluation epoch: 0.3194900453090668, epochs needed: 20
evaluating individudal 25 - 93b1c20a19111af4. Mean loss in evaluation epoch: 0.3194313645362854, epochs needed: 20
evaluating individudal 26 - 63474a633fee03a6. Mean loss in evaluation epoch: 0.317880243062973, epochs needed: 20
evaluating individudal 27 - 2dcbbf3a66fb4c6e. Mean loss in evaluation epoch: 0.3186476230621338, epochs needed: 20
evaluating individudal 28 - 1d2b71292bab61b9. Mean loss in evaluation epoch: 0.3170129656791687, epochs needed: 20
evaluating individudal 29 - eb92a27062906f00. Mean loss in evaluation epoch: 0.31962406635284424, epochs needed: 20
evaluating individudal 30 - 84aa0f025b1a4dc5. Mean loss in evaluation epoch: 0.3181980550289154, epochs needed: 20
evaluating individudal 31 - 990f593e5331ee94. Mean loss in evaluation epoch: 0.3200939893722534, epochs needed: 20
evaluating individudal 32 - 202dd094656d70e6. Mean loss in evaluation epoch: 0.31804922223091125, epochs needed: 20
evaluating individudal 33 - 76bbdd09c952968b. Mean loss in evaluation epoch: 0.3177605867385864, epochs needed: 20
evaluating individudal 34 - 9114f9ec183523d2. Mean loss in evaluation epoch: 0.31872448325157166, epochs needed: 20
evaluating individudal 35 - 4e7fcdfac1a1c476. Mean loss in evaluation epoch: 0.3178509473800659, epochs needed: 20
evaluating individudal 36 - 2cad374d3f270162. Mean loss in evaluation epoch: 0.31697824597358704, epochs needed: 20
evaluating individudal 37 - 97e97199ca549ef2. Mean loss in evaluation epoch: 0.317279577255249, epochs needed: 20
evaluating individudal 38 - e4e8af94464c043b. Mean loss in evaluation epoch: 0.31841006875038147, epochs needed: 20
evaluating individudal 39 - c4c6461cd3b19f79. Mean loss in evaluation epoch: 0.31925660371780396, epochs needed: 20
evaluating individudal 0 - 3cf9b0f9ac7f1848. Mean loss in evaluation epoch: 0.31670498847961426, epochs needed: 20
evaluating individudal 1 - aafb814c659dca2d. Mean loss in evaluation epoch: 0.31696540117263794, epochs needed: 20
evaluating individudal 2 - 649996f6e3b44aad. Mean loss in evaluation epoch: 0.3176049292087555, epochs needed: 20
evaluating individudal 3 - 5007bd607cb44686. Mean loss in evaluation epoch: 0.3186188042163849, epochs needed: 20
evaluating individudal 4 - ae7207371f6092d5. Mean loss in evaluation epoch: 0.3169212341308594, epochs needed: 20
evaluating individudal 5 - c4a35052f1307d46. Mean loss in evaluation epoch: 0.3175719678401947, epochs needed: 20
evaluating individudal 6 - 657c6e0e1b35e68f. Mean loss in evaluation epoch: 0.31722041964530945, epochs needed: 20
evaluating individudal 7 - 5148ee633def73c8. Mean loss in evaluation epoch: 0.3176535665988922, epochs needed: 20
evaluating individudal 8 - dd0bfc0ba8feaadc. Mean loss in evaluation epoch: 0.31748390197753906, epochs needed: 20
evaluating individudal 9 - df5c6e0b4a169f56. Mean loss in evaluation epoch: 0.31758078932762146, epochs needed: 20
Round 3 done. -----------------------------------------
------------------------- TRACKING ---------------------------
Matrix Hash: 3cf9b0f9ac7f1848, num_times_seen_before: 1
ACC: 0.38421052631578945
TPR/FPR: 0.4166666666666667, 0.6233766233766234
Loss: 0.31670498847961426
Timestamp: 1743.9045329250002
---------------------------------------------------------------
evaluating individudal 0 - 6068c7c687505806. Mean loss in evaluation epoch: 0.31914186477661133, epochs needed: 20
evaluating individudal 1 - ab790bf6bc2ef33b. Mean loss in evaluation epoch: 0.32041212916374207, epochs needed: 20
evaluating individudal 2 - a792bc17e7d4acc1. Mean loss in evaluation epoch: 0.31809261441230774, epochs needed: 20
evaluating individudal 3 - 73acba97a4299d29. Mean loss in evaluation epoch: 0.3181447386741638, epochs needed: 20
evaluating individudal 4 - e5dd25eb9d975116. Mean loss in evaluation epoch: 0.3171531856060028, epochs needed: 20
evaluating individudal 5 - 35b6d4c2a5f7abe3. Mean loss in evaluation epoch: 0.3180951476097107, epochs needed: 20
evaluating individudal 6 - d18a581d351d4a76. Mean loss in evaluation epoch: 0.31872788071632385, epochs needed: 20
evaluating individudal 7 - 7fa9e9b13dc97797. Mean loss in evaluation epoch: 0.3186713457107544, epochs needed: 20
evaluating individudal 8 - 08cd149c53da7da2. Mean loss in evaluation epoch: 0.31848639249801636, epochs needed: 20
evaluating individudal 9 - 1e3c57c887309b4a. Mean loss in evaluation epoch: 0.3181063234806061, epochs needed: 20
evaluating individudal 10 - a317c836e50df28c. Mean loss in evaluation epoch: 0.31961438059806824, epochs needed: 20
evaluating individudal 11 - 8e87adf4790d0ffe. Mean loss in evaluation epoch: 0.3179995119571686, epochs needed: 20
evaluating individudal 12 - c106ea4fe9e113af. Mean loss in evaluation epoch: 0.3182651996612549, epochs needed: 20
evaluating individudal 13 - 256f502cbb3e64f3. Mean loss in evaluation epoch: 0.3182612657546997, epochs needed: 20
evaluating individudal 14 - 6bda5d5d8b9e5109. Mean loss in evaluation epoch: 0.31878775358200073, epochs needed: 20
evaluating individudal 15 - 693604296eea7d79. Mean loss in evaluation epoch: 0.3186098337173462, epochs needed: 20
evaluating individudal 16 - c2e3f1cee5403e86. Mean loss in evaluation epoch: 0.3197930157184601, epochs needed: 20
evaluating individudal 17 - af16bf8cfb4290c0. Mean loss in evaluation epoch: 0.3169935345649719, epochs needed: 20
evaluating individudal 18 - 70cbe8a64f715949. Mean loss in evaluation epoch: 0.31776463985443115, epochs needed: 20
evaluating individudal 19 - 2e6b30edb1d4db69. Mean loss in evaluation epoch: 0.3183228373527527, epochs needed: 20
evaluating individudal 20 - b425f52a4f39237a. Mean loss in evaluation epoch: 0.31931281089782715, epochs needed: 20
