num samples: 1000
NUM_TRAIN_SAMPLES: 1000
NUM_TRAIN_BATCHES: 10
NUM_TEST_SAMPLES: 1000
NUM_TEST_BATCHES: 10
BATCH_SIZE: 100
HIDDEN_SIZE: 128
NUM_DYN_EPOCHS: 200
IS_CONTINUOUS: True
USE_MAX: False
../data/final/cml/timeseries_ba20_1k_3.5_restart.pickle
../data/final/edges_ba20.pickle
CONTINUATION: False
CONT_ADDRESS: D:\Uni\BA\ColabOutputs\ba20\2020-12-10T22_50_22.113418
SEED: 0
NUM_DYN_EPOCHS: 200
NUM_DYN_EPOCHS_INIT: 200
DETECT_EARLY_CONVERGENCE: False
RESET_DYN_LEARNER_EVERY_NTH_GEN: 1
POP_SIZE: 10
NEWPOP_SIZE: 40
NUM_GEN: 45
USE_NODEWISE_EVALUATION: False
USE_EVALEPOCH_FOR_GUIDED_MUTATION: False
USE_DETERMINISTIC_EVAL: False
FORMAT: standard
--------------------- Start training ------------------------
evaluating individudal 29 - 57524fedce2ce565. Mean loss in evaluation epoch: 0.035806894302368164, epochs needed: 200
evaluating individudal 30 - e2800592a9912d7f. Mean loss in evaluation epoch: 0.04060251638293266, epochs needed: 200
evaluating individudal 31 - 463b260e89d1309d. Mean loss in evaluation epoch: 0.03897790238261223, epochs needed: 200
evaluating individudal 32 - 3c0e7f1af9f9c5d6. Mean loss in evaluation epoch: 0.037951063364744186, epochs needed: 200
evaluating individudal 33 - 743655b2fe4bba0a. Mean loss in evaluation epoch: 0.03402125462889671, epochs needed: 200
evaluating individudal 34 - 442e2f33c594d4c1. Mean loss in evaluation epoch: 0.04496713727712631, epochs needed: 200
evaluating individudal 35 - cf8b23a7db3a1919. Mean loss in evaluation epoch: 0.038833241909742355, epochs needed: 200
evaluating individudal 36 - 20bd507804f35a35. Mean loss in evaluation epoch: 0.03603295609354973, epochs needed: 200
evaluating individudal 37 - 87c59c7d2d594ff4. Mean loss in evaluation epoch: 0.03833463415503502, epochs needed: 200
evaluating individudal 38 - 39202d2b23dc61a2. Mean loss in evaluation epoch: 0.03681435063481331, epochs needed: 200
evaluating individudal 39 - adbd4c94ab4d6942. Mean loss in evaluation epoch: 0.042526550590991974, epochs needed: 200
evaluating individudal 0 - a3a896a944d0eecd. Mean loss in evaluation epoch: 0.03668397292494774, epochs needed: 200
evaluating individudal 1 - 2cb9e2a950d22a5e. Mean loss in evaluation epoch: 0.03900345042347908, epochs needed: 200
evaluating individudal 2 - 5ca8fafc256a3088. Mean loss in evaluation epoch: 0.03833271935582161, epochs needed: 200
evaluating individudal 3 - df99888be7ae5b51. Mean loss in evaluation epoch: 0.04005290940403938, epochs needed: 200
evaluating individudal 4 - 0f9c05268c184962. Mean loss in evaluation epoch: 0.04080749303102493, epochs needed: 200
evaluating individudal 5 - 3e39d84b7abff710. Mean loss in evaluation epoch: 0.04015723615884781, epochs needed: 200
evaluating individudal 6 - c6209895c012aeae. Mean loss in evaluation epoch: 0.04405651614069939, epochs needed: 200
evaluating individudal 7 - 1ce0c8a1ad813b7a. Mean loss in evaluation epoch: 0.04018833860754967, epochs needed: 200
evaluating individudal 8 - feebaf7ee45086e0. Mean loss in evaluation epoch: 0.04453901946544647, epochs needed: 200
evaluating individudal 9 - 68395c3cda63cfdc. Mean loss in evaluation epoch: 0.04291887208819389, epochs needed: 200
Round 3 done. -----------------------------------------
------------------------- TRACKING ---------------------------
Matrix Hash: c443838273c065d5, num_times_seen_before: 0
ACC: 0.7947368421052632
TPR/FPR: 1.0, 0.2532467532467532
Loss: 0.03272237256169319
Timestamp: 7775.901660438976
---------------------------------------------------------------
evaluating individudal 0 - fc428a588a8799d2. Mean loss in evaluation epoch: 0.03185470402240753, epochs needed: 200
evaluating individudal 1 - ac4e781455bc3f57. Mean loss in evaluation epoch: 0.0351046584546566, epochs needed: 200
evaluating individudal 2 - 6ecef1eb1ed72e6f. Mean loss in evaluation epoch: 0.03068549931049347, epochs needed: 200
evaluating individudal 3 - 16ef80d961cd0380. Mean loss in evaluation epoch: 0.033696647733449936, epochs needed: 200
evaluating individudal 4 - 74e400044781e5f7. Mean loss in evaluation epoch: 0.03525722771883011, epochs needed: 200
evaluating individudal 5 - 7840d672d996628f. Mean loss in evaluation epoch: 0.03459925949573517, epochs needed: 200
evaluating individudal 6 - 3bb4794a7e021d5b. Mean loss in evaluation epoch: 0.0341511107981205, epochs needed: 200
evaluating individudal 7 - c7eb42a09dd29139. Mean loss in evaluation epoch: 0.03081788681447506, epochs needed: 200
evaluating individudal 8 - 945a43628f6c1897. Mean loss in evaluation epoch: 0.035427071154117584, epochs needed: 200
evaluating individudal 9 - 9d6e8e6f2a57516b. Mean loss in evaluation epoch: 0.03170427680015564, epochs needed: 200
evaluating individudal 10 - 4ffbee84a65aeb6d. Mean loss in evaluation epoch: 0.03281950578093529, epochs needed: 200
evaluating individudal 11 - 20855f0691af00a5. Mean loss in evaluation epoch: 0.030293656513094902, epochs needed: 200
evaluating individudal 12 - 3aec24331569ae06. Mean loss in evaluation epoch: 0.033461540937423706, epochs needed: 200
evaluating individudal 13 - df444b7c304175ea. Mean loss in evaluation epoch: 0.03271310403943062, epochs needed: 200
evaluating individudal 14 - 84bbcca65761713b. Mean loss in evaluation epoch: 0.03136632964015007, epochs needed: 200
evaluating individudal 15 - 462be0e603587f93. Mean loss in evaluation epoch: 0.03205136954784393, epochs needed: 200
evaluating individudal 16 - 1eb72317c4dc2f37. Mean loss in evaluation epoch: 0.031166940927505493, epochs needed: 200
evaluating individudal 17 - d3370c6dbc4e6cd1. Mean loss in evaluation epoch: 0.03458840399980545, epochs needed: 200
evaluating individudal 18 - 3b1580b73f6d7fdf. Mean loss in evaluation epoch: 0.03304671868681908, epochs needed: 200
evaluating individudal 19 - 34ef04015a69eb02. Mean loss in evaluation epoch: 0.027901524677872658, epochs needed: 200
evaluating individudal 20 - 5f63a8505f5227e2. Mean loss in evaluation epoch: 0.032669685781002045, epochs needed: 200
evaluating individudal 21 - 2ed43f8cc53cdd7f. Mean loss in evaluation epoch: 0.030995404347777367, epochs needed: 200
evaluating individudal 22 - e522d78e878e9ee0. Mean loss in evaluation epoch: 0.03375599533319473, epochs needed: 200
evaluating individudal 23 - 2c3d5f808b5daec8. Mean loss in evaluation epoch: 0.033731650561094284, epochs needed: 200
evaluating individudal 24 - ae3d7986edc26d69. Mean loss in evaluation epoch: 0.03320186957716942, epochs needed: 200
evaluating individudal 25 - 35815e856e8d2119. Mean loss in evaluation epoch: 0.03348913416266441, epochs needed: 200
evaluating individudal 26 - 3522a6d9ec1f09f0. Mean loss in evaluation epoch: 0.03103972040116787, epochs needed: 200
evaluating individudal 27 - 60e91727b2433578. Mean loss in evaluation epoch: 0.03385206684470177, epochs needed: 200
evaluating individudal 28 - 9b32d884240c7870. Mean loss in evaluation epoch: 0.031398918479681015, epochs needed: 200
evaluating individudal 29 - 6d4c96ea542d1d43. Mean loss in evaluation epoch: 0.03360571339726448, epochs needed: 200
evaluating individudal 30 - 6964f06033dc9faf. Mean loss in evaluation epoch: 0.0345134399831295, epochs needed: 200
evaluating individudal 31 - 67ee4e05d24aa920. Mean loss in evaluation epoch: 0.04040016233921051, epochs needed: 200
evaluating individudal 32 - b6eb5d1c5e72fab7. Mean loss in evaluation epoch: 0.0358036532998085, epochs needed: 200
evaluating individudal 33 - f4d1a5711dddcc96. Mean loss in evaluation epoch: 0.033716555684804916, epochs needed: 200
evaluating individudal 34 - 4fbed45b8c7fc57b. Mean loss in evaluation epoch: 0.030941182747483253, epochs needed: 200
evaluating individudal 35 - ae1fa29b89500688. Mean loss in evaluation epoch: 0.03800954297184944, epochs needed: 200
evaluating individudal 36 - e2fd86a37aecfaf1. Mean loss in evaluation epoch: 0.03082437627017498, epochs needed: 200
evaluating individudal 37 - 2e18a83e29492bbb. Mean loss in evaluation epoch: 0.035267625004053116, epochs needed: 200
evaluating individudal 38 - c2e2e41da7b2b225. Mean loss in evaluation epoch: 0.02868208847939968, epochs needed: 200
evaluating individudal 39 - f93b75f9e24e49e6. Mean loss in evaluation epoch: 0.02662244811654091, epochs needed: 200
evaluating individudal 0 - c443838273c065d5. Mean loss in evaluation epoch: 0.034681305289268494, epochs needed: 200
evaluating individudal 1 - 743655b2fe4bba0a. Mean loss in evaluation epoch: 0.0334840826690197, epochs needed: 200
evaluating individudal 2 - 186665f2a22bec2c. Mean loss in evaluation epoch: 0.03425723314285278, epochs needed: 200
